jobtitle,jobdescription,skills,experience
SR EDITOR & WRITER,"Job Description Â Send me Jobs like this A content editor has to plan, create, edit and publish information on our websites. Being a part of the Marketing and Communications department, all corporate communications will be supervised by the content editor. Content editor will be responsible for the material for our websites, blogs and other inbound and outbound communications. YOUR RESPONSIBILITIES Edit, proofread, review, and rewrite content including but not limited to feature articles, blog posts, website content, social media content, press releases, e-mailers, marketing collateral, graphics, videos etc Mentor writer(s) in the development of content, chiefly its logical order and structure. Coordinate with freelance writers and other vendors if required. Ensure content deliverables are dispatched on time. Ideate on innovative content to help increase website visitors. EXPERIENCE 0 - 4 years experience in writing & editing. Salary: Not Disclosed by Recruiter Industry: Media / Entertainment / Internet Functional Area: Journalism , Editing , Content Role Category:Content Development Role:Content Developer Keyskills articles development website social media graphics inbound outbound content marketing edit Desired Candidate Profile Education- UG: B.A PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: sumHR sumHR Download PPT Photo 1 Â View Contact Details",Journalism,0 - 3 yrs
US IT Recruiter - Screening/ Sourcing/ Interviewing,"Job Description Â Send me Jobs like this Involve in full cycle Recruitment involving sourcing, identifying, interviewing, Screening and placing personnel in quick turnaround time in contract, contract to hire and permanent positions by using job boards. - Interact with account manager and Clients on a daily basis and get requirements. Candidates are sourced and job orders filled by using Internet postings, paid/free job sites, head hunting, third party companies, networking and referrals. - Responsible for managing the recruiting process from resume submission to final candidate negotiation. - Quick turnaround of quality resumes within the time limit after receiving the requirements. - Post jobs on job sites and speak to qualified candidates. - Utilize networking as well as technical tools such as the Internet to source candidates in various job boards Monster, Dice, Corp-corp. and LinkedIn - Involved in Formatting each resumes before submittal to the client's needs. - Perform extensive background checks on potential hires and arrange technical evaluations to assure skill levels. - Creating database for company. - Negotiate hourly rates with vendors, green card holders, US citizens, EAD's, TN visa. - Coordinating with managers to do the necessary paper work once the consultant is placed Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:Recruitment Executive Keyskills US IT Recruiter Screening Sourcing Interviewing Recruitment Talent Acquisition Desired Candidate Profile Â Education- UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required Company Profile: Okda Solutions Leading client of Okda Solutions Download PPT Photo 1 Â View Contact Details",HR,1 - 5 yrs
Executives/ Officers - Production - API Bulk Drugs - Chennai,"Job Description Â Send me Jobs like this Prime responsibility : Responsible for Production Operations Job Activities 1. Responsible for Execution of Batches Safely-as per SOPs & BMR 2. Checks for QC approval before charging the Raw Materials 3. Ensure the qty of RM charged 4. Report any variations in Qty and Quality (visual) of the material charged 5. Cross verification of raw material quantities issued by stores 6. Report deviations and abnormalities in the batch immediately to superiors 7. Responsible for Housekeeping and cleaning of Production equipments. 8. Filling up of BMR 9. Recording, Equipment Logs status board and other logs pertaining to the production area 10. Getting work done from contract workmen deployed in the production area 11. Safe Disposal of used process water to ETP 12. Safe storing of hazardous waste in hazardous waste storage room 13. Packing of finished product as per the standard packing size (product wise) 14. Co-ordination with maintenance for usage of Boiler, chilling plant, cooling tower, hot oil unit, RO Plant, scrubber and Effluent treatment plant 15. Ensure compliance to Safety norms Accountability Output from the batch Quality & Quantity Recovery of Solvent used in the batch Operation without any physical loss of material and cross contaminations. Compliance to cGMP Compliance to SHE requirement Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Production , Manufacturing , Maintenance Role Category:Production/Manufacturing/Maintenance Role:Product Development Executive Keyskills API Production Operations Water Quality Maintenance Bulk Drugs RO Plant CGMP Effluent Treatment Plant Cooling Tower Desired Candidate Profile Education- UG: B.Sc - Chemistry, B.Tech/B.E. - Chemical, Diploma - Chemical PG:M.Tech - Chemical, M.Sc - Chemistry Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Â Company Profile: CONFIDENTIAL A LEADING CLIENT Download PPT Photo 1 Â View Contact Details",Production,0 - 2 yrs
Senior Sales Associate/ Sales Associate- US Markets,"Job Description Â Send me Jobs like this Job involves: 1. Making Outbound B2B Calls. 2. Use and deliver predefined scripts. Understand client offerings and be able to answer questions regarding it. 3. Meet weekly/ Monthly targets with good incentives on achieving targets. 4. Data Research. 5. Able to work in 24X5 Environment. Both US & India shifts available. Fixed Sat & Sun off. Fixed Shifts. Salary:INR 1,25,000 - 3,75,000 P.A. Fixed salary plus excellent incentives Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Sales Prospecting Cold Calling Data Research inside sales Demand Generation Outbound Calling leads Lead Generation presales Outbound Sales Desired Candidate Profile Required Excellent Communication Skills with good spoken and written English. Both India & US Shifts available.Should be energetic and willing to learn.Go Getter attitude.Past Sales Experience in India/ US market with IT/ BPO preferred. Education- UG: Any Graduate - Any Specialization Company Profile: The Global Associates The Global Associates is a unique full service sales & marketing Solutions provider to organizations globally. We are a mid-sized company and offer excellent work environment and growth opportunities in domestic/ International Sales. Download PPT Photo 1 Â View Contact Details",ITES,0 - 4 yrs
Professor - Mechanical Engineering,"Job Description Â Send me Jobs like this Advertisement Number: I-50/2013-2014 Employee Type: Faculty Division: All Academic Divisions Application Last Date: Monday, May 1, 2017 Experience : -A minimum of ten years teaching/research/professional experience of which at least 4 years should be at the level of Associate Professor in a research organization or industry as on the date of application. The candidate should have demonstrated leadership in research in a specific area of specialization in terms of guidance of Ph.D. students, strong record of publications in reputed journals and conferences, patents, laboratory/course development and/or other recognized relevant professional activities. PAY BAND : - PB-4 (Rs.37400-67000) with Academic Grade Pay of Rs.10,500/- p.m. For Direct recruits, minimum pay in the Pay Band to be fixed at Rs.48,000/- p.m 1. Allowances as admissible to Central Government employees apply. 2. A Cumulative Professional Development Allowance of Rs.3.0 Lakhs in a block of 3 years is admissible to all faculty. Education : - Ph.D. with First class or equivalent (in terms of Grades etc.) at the preceeding degree and a good academic record throughout. For more detial : - http://www.iitb.ac.in/en/careers/faculty-recruitment http://www.iitb.ac.in/job/i-502013-2014 http://www.iitb.ac.in/sites/default/files/jobs/2014-08/AdvtI50Nov13.pdf http://www.iitb.ac.in/sites/default/files/jobs/2014-09/Infosheet11Sep2014.pdf Last Apply Date: 2017-05-01 Industry: Education / Teaching / Training Functional Area: Teaching , Education , Training , Counselling Desired Candidate Profile Please refer to the Job description above Company Profile: Indian Institute of Technology Bombay Download PPT Photo 1 Â View Contact Details",Teaching,Not Mentioned
Head Of Marketing,"Job Description Â Send me Jobs like this Job Description strong> : p> Minimum 10 years of experience in marketing li> Generating substantial growth of the core product lines and positioning the company\'s brand for long term success. li> Specifically, improving the revenue, market share and business profitability by defining the overall features and benefits. li> ul> p> p> Team Management p> li> ul> p> Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Marketing Role:Marketing Manager Keyskills business development team management positioning benefits company marketing strategies presentation skills market share core product Desired Candidate Profile Education- UG: Any Graduate PG:MBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: ESS Distribution Private Limited In India, sales of ESET software products to end customers are executed through the Partner Channel which is represented by the chain: Distributor - Partners (Platinum, Gold or Silver) - End Customer. Distributor is the company which has the Partner Network and doesn\'t transact directly with End Customers. Main tasks of the Distributor are: ESET products promotion through the Partner Network, sales incentives to Partners and Channel Partner\'s orders execution. p> Download PPT Photo 1 Â View Contact Details",Marketing,10 - 15 yrs
Senior Business Development Executive,"Job Description Â Send me Jobs like this Responsible for acquiring new accounts and mapping international markets and maintain database Responsible for preparing the proposals for the sales and preparing in RFPs , RFQs and RFIs Respond to queries raised by prospective Clients (mandatory) Bidding for New Projects on Elance.com , guru.com , interacting with clients and closing deals Preparation of pre-sales material like datasheets , flyers , newsletters , brochures etc Coordinating with other departments to get valuable inputs in order to achieve maximum quality Establishing smooth relations with corporate clients , business associates Identifying and developing potential business partners and growing existing client relationships Actively seek and conduct meetings and presentations with potential clients Draft and implement business development tactics tailored to the international market Prepares and performs customer presentations , including Bid Defense Meetings Plans and coordinates client sales activities Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: Sales , Retail , Business Development Role Category:Corporate Sales Role:Sales Executive/Officer Keyskills pre sales market research bidding elance mapping coordinating closing sales clients business development executive Desired Candidate Profile Education- UG: Any Graduate PG:MBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: SKAN DbyDx Software Pvt. Ltd DbyDx Software is a worldwide provider of outsourced product development and consulting to emerging and established technology companies. Our core competency lies in Mobile Application, Rich Internet Application (RIA) Development & Quality Assurance. Using our domain expertise and a holistic approach towards software development and consultancy, we provide our clients with innovative solutions custom built for specific requirements while optimizing their cost of ownership of technology investments. We follow optimum and efficient utilization of resources in order to provide the best in class service to our clients. Download PPT Photo 1 Â View Contact Details",Sales,5 - 7 yrs
Full Stack Developer,"Job Description Â Send me Jobs like this Full Stack Developer at Boxmyspace About BoxMySpace BoxMySpace (boxmyspace.com ) is an early stage startup with a very unique concept for urban cities. With the increased urbanisation, there is a big issue ofspace crunch in citieswhereby people have smaller apartments and offices. That's where we come in and we help our customers declutter their home and office space in the most simple and easy way. A one-stop platform for all the urban dweller's storage requirements. We provide storage in two options. a ) By the Box - Customers order for our high quality storage boxes online and we deliever it to them at their doorsteps. Now, all they need to do is pack and store their things in the boxes. We then collect and store it for them safely. Now, anytime they want anyting back from the box, we deliver the boxes back within 24-48 hours. Simple! b ) By the Space - If someone wants a place to store their larger items, we provide space plans of 4ft x 4ft x 4ft and 6ft x 6ft x 6ft. Whatever fits in the space, we collect it from the customer's doorsteps and store it safely. We launched about 3 months back and have received great traction and buzz. Now looking push this to the next level. To do that, we are looking for a highly dedicated developer who can build our systems which can help us scale our operations efficiently. Job Responsibilities Enhance our backend services for seamless customer experience Design and build visual components for data-analytics and reports Add rich features for improving functionality of the system Automate the full workflow from customer ordering to processing Build APIs for integration with our mobile apps Desired Skills and Experience Minimum 2 years of experience Strong knowledge of J2EE and experience with frameworks like Struts, Hibernate, Spring etc Take charge and full ownership of code base Ability to thing out of the box Compensation and other details Compensation will beinline with market standards and perks include regular appraisal based on the performance and team fit. Being one of the early employees in the team, you will have a greater say in shaping the direction of the venture. Tell your friends about this position More positions at Boxmyspace Get email updates for new positions at Boxmyspace Salary: Not Disclosed by Recruiter Industry: Banking / Financial Services / Broking Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills operations ckend startup workflow j2ee dedicated options standards hibernate Desired Candidate Profile Education- UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: BoxMySpace BoxMySpace Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,2 - 7 yrs
Biztalk Developer-,"Job Description Â Send me Jobs like this Biztalk Developer Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Biztalk Developer Company Profile: Arminus Software Pvt. Ltd Arminus Software Pvt. Ltd Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,2 - 4 yrs
Excellent Opportunity for Abinitio Developers,"Job Description Â Send me Jobs like this Looking for Abinitio Developers with 6-8yrs exp with strong expertise in Abinitio development , Teradata and Unix .If Interested send the cv to hyd11@liveconnections.in or 4444-6865 Salary:INR 12,00,000 - 14,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Ab Initio teradata Unix Shell Scripting Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Abinitio Developers with 6-8 yrs exp with strong expertise in Abinitio development , Teradata and Unix . They are preferring someone from Credit Risk or Corporate Risk Company Profile: Live connections Product based Investment Firm Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,6 - 8 yrs
