resume_idx,correct_jd_id,hit_in_top_k,rank_if_hit,top_ids,top_scores
0,7,False,,8219;9692;5920;13319;4270,0.6196;0.5861;0.5760;0.5663;0.5597
1,8,True,5.0,13130;2685;14292;10108;8,0.7089;0.6500;0.5949;0.5903;0.5867
2,11,False,,8983;2679;15028;1793;9836,0.5888;0.5881;0.5812;0.5802;0.5529
3,1,True,2.0,7575;1;5238;2819;15920,0.6250;0.6205;0.6180;0.6164;0.6093
4,4,False,,12066;16681;15722;896;11208,0.3928;0.3881;0.3816;0.3735;0.3701
5,12,False,,5257;6533;2190;11131;2764,0.6548;0.6469;0.6326;0.6293;0.6225
6,5,False,,16269;5500;14442;3834;995,0.6407;0.6351;0.6180;0.6179;0.6159
7,6,False,,13598;15469;4071;14226;8075,0.6435;0.6310;0.6216;0.6036;0.6012
8,13,False,,14399;8196;11548;13854;1441,0.6414;0.6042;0.5963;0.5927;0.5904
9,10,False,,14611;8710;8960;10502;6247,0.6644;0.6421;0.6346;0.6088;0.6067
